time,price,volume
1577604166000,6.12,2771575.41
1577604197000,6.12,2771575.41
1577604228000,6.12,2771575.41
1577604259000,6.1,2775437.31
1577604290000,6.1,2775437.31
1577604322000,6.1,2774653.41
1577604353000,6.1,2774653.41
1577604384000,6.1,2773632.59
1577604415000,6.1,2770178.54
1577604446000,6.1,2769866.15
1577604477000,6.1,2769866.15
1577604621000,6.1,2769339.58
1577604655000,6.1,2769339.58
1577604688000,6.1,2769339.58
1577604721000,6.1,2769339.58
1577604752000,6.1,2769339.58
1577604783000,6.1,2769339.58
1577604814000,6.1,2769259.09
1577604845000,6.1,2769259.09
1577604876000,6.1,2769259.09
1577604908000,6.1,2769259.09
1577604939000,6.1,2769259.09
1577605000000,6.12,2769511.90
1577605032000,6.1,2770923.35
1577605063000,6.1,2770923.35
1577605094000,6.1,2770923.35
1577605125000,6.1,2770923.35
1577605156000,6.1,2771257.89
1577605187000,6.09,2771518.26
1577605218000,6.09,2771770.19
1577605250000,6.1,2773140.94
1577605281000,6.1,2773140.94
1577605313000,6.12,2773149.10
1577605343000,6.12,2773149.10
1577605374000,6.12,2772291.53
1577605406000,6.1,2772193.80
1577605437000,6.13,2772213.54
1577605468000,6.13,2772213.54
1577605500000,6.1,2773688.94
1577605531000,6.1,2773688.94
1577605562000,6.1,2775051.69
1577605593000,6.1,2775047.69
1577605624000,6.1,2774927.16
1577605656000,6.1,2774794.57
1577605687000,6.09,2780794.57
1577605718000,6.09,2780794.57
1577605749000,6.12,2780808.71
1577605780000,6.12,2780808.71
1577605811000,6.12,2780808.71
1577605842000,6.12,2780808.71
1577605873000,6.12,2780998.75
1577605905000,6.12,2780998.75
1577605936000,6.12,2780998.75
1577605967000,6.12,2780998.75
1577605999000,6.12,2780998.75
1577606031000,6.1,2781559.53
1577606062000,6.1,2781559.53
1577606093000,6.1,2781500.79
1577606124000,6.1,2781500.79
1577606155000,6.1,2781500.79
1577606186000,6.1,2781500.79
1577606218000,6.1,2781257.39
1577606249000,6.1,2781257.39
1577606280000,6.1,2781257.39
1577606311000,6.12,2781909.20
1577606342000,6.12,2781937.53
1577606373000,6.12,2781937.53
1577606405000,6.12,2781937.53
1577606436000,6.12,2781937.53
1577606467000,6.12,2781937.53
1577606498000,6.12,2781937.53
1577606529000,6.12,2781937.53
1577606560000,6.12,2781048.04
1577606591000,6.12,2780992.48
1577606623000,6.1,2780861.66
1577606654000,6.1,2779344.19
1577606685000,6.1,2780721.23
1577606716000,6.1,2781899.17
1577606748000,6.09,2782227.57
1577606779000,6.09,2782227.57
1577606811000,6.09,2789724.77
1577606842000,6.08,2791205.03
1577606875000,6.07,2792714.14
1577606906000,6.07,2792822.76
1577606937000,6.07,2792822.76
1577606969000,6.07,2792822.76
1577607001000,6.07,2793452.30
1577607033000,6.09,2793456.30
1577607066000,6.09,2793620.51
1577607098000,6.09,2793620.51
1577607130000,6.09,2793620.51
1577607162000,6.09,2793705.80
1577607196000,6.09,2794454.59
1577607227000,6.09,2794454.59
1577607259000,6.08,2794839.43
1577607291000,6.07,2795600.25
1577607323000,6.07,2795530.45
1577607355000,6.07,2795530.45
1577607387000,6.07,2796206.78
1577607419000,6.09,2794989.94
1577607450000,6.09,2794989.94
1577607481000,6.06,2797114.92
1577607513000,6.06,2794960.39
1577607544000,6.06,2793960.39
1577607575000,6.06,2794860.39
1577607607000,6.06,2794860.39
1577607639000,6.06,2794860.39
1577607671000,6.06,2794860.39
1577607702000,6.06,2794860.39
1577607734000,6.04,2797292.80
1577607766000,6.05,2797901.15
1577607798000,6.05,2801161.99
1577607830000,6.05,2801161.99
1577607861000,6.06,2802186.96
1577607893000,6.06,2802186.96
1577607924000,6.06,2802186.96
1577607956000,6.06,2802186.96
1577607987000,6.06,2802186.96
1577608019000,6.06,2802186.96
1577608050000,6.08,2803437.02
1577608082000,6.08,2803437.02
1577608113000,6.08,2803437.02
1577608144000,6.07,2803480.26
1577608175000,6.07,2803480.26
1577608207000,6.08,2803496.70
1577608238000,6.05,2803612.42
1577608269000,6.05,2803612.42
1577608301000,6.05,2803612.42
1577608332000,6.05,2803612.42
1577608363000,6.05,2803612.42
1577608394000,6.05,2803612.42
1577608426000,6.05,2803612.42
1577608457000,6.05,2803612.42
1577608489000,6.1,2804019.90
1577608561000,6.1,null
1577608592000,6.1,null
1577608624000,6.1,null
1577608655000,6.1,null
1577608687000,6.1,null
1577608718000,6.1,null
1577608749000,6.1,null
1577608780000,6.09,null
1577608812000,6.07,null
1577608843000,6.07,null
1577608874000,6.07,null
1577608905000,6.06,null
1577608935000,6.06,null
1577608971000,6.06,null
1577609002000,6.06,null
1577609033000,6.06,null
1577609065000,6.06,null
1577609096000,6.06,null
1577609128000,6.06,null
1577609159000,6.06,null
1577609190000,6.07,null
1577609222000,6.07,null
1577609254000,6.07,null
1577609285000,6.07,null
1577609316000,6.09,null
1577609347000,6.08,null
1577609378000,6.07,null
1577609410000,6.07,null
1577609441000,6.06,null
1577609472000,6.06,null
1577609504000,6.06,null
1577609535000,6.06,null
1577609566000,6.06,null
1577609598000,6.06,null
1577609629000,6.06,null
1577609660000,6.06,null
1577609691000,6.06,null
1577609722000,6.07,null
1577609753000,6.07,null
1577609785000,6.07,null
1577609816000,6.07,null
1577609847000,6.07,null
1577609879000,6.07,null
1577609910000,6.07,null
1577609941000,6.07,null
1577609970000,6.07,null
1577610001000,6.07,null
